Algorithm,Alpha 0,Decay rate,Train loss,Test loss,,,
SGD,0.009,0.0006,4.00E-07,0.019331776,,,
SGD,0.009,0.0007,2.51E-07,0.019272793,,,
SGD,0.009,0.0008,3.64E-07,0.019311639,,,
SGD,0.009,0.0009,5.05E-07,0.019353924,,,
SGD,0.009,0.001,8.83E-07,0.019449582,,,
SGD,0.009,0.002,8.73E-06,0.020297213,,,
SGD,0.009,0.003,3.93E-05,0.021978543,,,
SGD,0.009,0.004,0.000110716,0.024815045,,,
SGD,0.009,0.005,0.000197659,0.027349208,,,
SGD,0.009,0.006,0.00032663,0.031458896,,,
SGD,0.009,0.007,0.000433659,0.033715526,,,
SGD,0.009,0.008,0.000560302,0.036491274,,,
SGD,0.009,0.009,0.000677007,0.03928129,,,
SGD,0.009,0.01,0.00090819,0.047156864,,,
SGD,0.01,0.0001,4.46E-09,0.019112577,,,
SGD,0.01,0.0002,7.12E-08,0.019187777,,,
SGD,0.01,0.0003,1.23E-08,0.019127753,,,
SGD,0.01,0.0004,2.08E-08,0.019139893,,,
SGD,0.01,0.0005,3.34E-08,0.019153057,,,
SGD,0.01,0.0006,7.99E-08,0.019189035,,,
SGD,0.01,0.0007,8.45E-08,0.019193787,,,
SGD,0.01,0.0008,1.28E-07,0.019218764,,,
SGD,0.01,0.0009,6.44E-07,0.019415339,,,
SGD,0.01,0.001,3.53E-07,0.019312704,,,
SGD,0.01,0.002,9.53E-06,0.020465268,,,
SGD,0.01,0.003,2.40E-05,0.021238144,,,
SGD,0.01,0.004,7.65E-05,0.023589741,,,
SGD,0.01,0.005,0.000152432,0.026181685,,,
SGD,0.01,0.006,0.000239067,0.028517623,,,
SGD,0.01,0.007,0.000352429,0.031868623,,,
SGD,0.01,0.008,0.000456481,0.034111345,,,
SGD,0.01,0.009,0.000566922,0.036948196,,,
SGD,0.01,0.01,0.000673681,0.039442803,,,
SGD,0.02,0.0001,1.47E-14,0.019054999,,,
SGD,0.02,0.0002,1.95E-14,0.019069471,,,
SGD,0.02,0.0003,1.31E-13,0.01905509,,,
SGD,0.02,0.0004,1.31E-13,0.019064075,,,
SGD,0.02,0.0005,1.17E-12,0.019074886,,,
SGD,0.02,0.0006,1.41E-12,0.019058489,,,
SGD,0.02,0.0007,3.82E-12,0.019072726,,,
SGD,0.02,0.0008,8.58E-12,0.019073086,,,
SGD,0.02,0.0009,1.09E-11,0.019065142,,,
SGD,0.02,0.001,2.29E-11,0.019065679,,,
SGD,0.02,0.002,6.57E-09,0.019090624,,,
SGD,0.02,0.003,2.53E-07,0.019245292,,,
SGD,0.02,0.004,1.51E-06,0.019533841,,,
SGD,0.02,0.005,6.83E-06,0.020134787,,,
SGD,0.02,0.006,2.29E-05,0.021248483,,,
SGD,0.02,0.007,3.63E-05,0.021832132,,,
SGD,0.02,0.008,6.36E-05,0.022972269,,,
SGD,0.02,0.009,0.000106043,0.024642945,,,
SGD,0.02,0.01,0.000179941,0.027309964,,,
SGD,0.03,0.0001,1.30E-17,0.018975106,,,Min test loss here!
SGD,0.03,0.0002,1.83E-19,0.019055772,,,
SGD,0.03,0.0003,3.95E-17,0.018985361,,,
SGD,0.03,0.0004,2.39E-18,0.019048754,,,
SGD,0.03,0.0005,1.68E-17,0.019055797,,,0.018975106
SGD,0.03,0.0006,3.37E-17,0.019033145,,,
SGD,0.03,0.0007,6.05E-16,0.019005773,,,
SGD,0.03,0.0008,3.92E-16,0.019041263,,,
SGD,0.03,0.0009,1.24E-15,0.019041282,,,
SGD,0.03,0.001,3.75E-14,0.018995932,,,
SGD,0.03,0.002,3.51E-11,0.01900842,,,
SGD,0.03,0.003,2.63E-09,0.019035237,,,
SGD,0.03,0.004,1.45E-07,0.019139113,,,
SGD,0.03,0.005,3.66E-07,0.019279638,,,
SGD,0.03,0.006,2.06E-06,0.019586487,,,
SGD,0.03,0.007,4.63E-06,0.019922748,,,
SGD,0.03,0.008,1.24E-05,0.02054949,,,
SGD,0.03,0.009,1.89E-05,0.020954161,,,
SGD,0.03,0.01,3.28E-05,0.021705716,,,
SGD,0.04,0.0001,1.47E-19,0.020858404,,,
SGD,0.04,0.0002,1.12E-17,0.021609929,,,
SGD,0.04,0.0003,1.86E-14,0.022960211,,,
SGD,0.04,0.0004,2.41E-17,0.021058568,,,
SGD,0.04,0.0005,8.83E-17,0.021048421,,,
SGD,0.04,0.0006,1.34E-16,0.020256312,,,
SGD,0.04,0.0007,9.59E-16,0.021028317,,,
SGD,0.04,0.0008,4.03E-14,0.021840321,,,
SGD,0.04,0.0009,1.08E-12,0.022501578,,,
SGD,0.04,0.001,2.15E-14,0.020998657,,,
SGD,0.04,0.002,1.90E-11,0.020312967,,,
SGD,0.04,0.003,2.14E-09,0.02011212,,,
SGD,0.04,0.004,1.36E-07,0.021696088,,,
SGD,0.04,0.005,7.70E-07,0.021884123,,,
SGD,0.04,0.006,2.04E-06,0.021815812,,,
SGD,0.04,0.007,1.03E-05,0.023879453,,,
SGD,0.04,0.008,1.54E-05,0.023864149,,,
SGD,0.04,0.009,1.63E-05,0.022866524,,,
SGD,0.04,0.01,2.38E-05,0.023077001,,,
SGD,0.05,0.0001,6.54E-16,0.030820549,,,
SGD,0.05,0.0002,3.38E-15,0.031815876,,,
SGD,0.05,0.0003,7.08E-13,0.038427792,,,
SGD,0.05,0.0004,2.80E-14,0.03177128,,,
SGD,0.05,0.0005,5.63E-13,0.035414066,,,
SGD,0.05,0.0006,6.03E-13,0.034061644,,,
SGD,0.05,0.0007,4.37E-13,0.031704982,,,
SGD,0.05,0.0008,6.90E-13,0.030673529,,,
SGD,0.05,0.0009,1.19E-11,0.035310741,,,
SGD,0.05,0.001,6.96E-12,0.032749551,,,
SGD,0.05,0.002,7.58E-10,0.029548422,,,
SGD,0.05,0.003,6.97E-08,0.035048307,,,
SGD,0.05,0.004,4.52E-06,0.049219615,,,
SGD,0.05,0.005,1.01E-06,0.030759087,,,
SGD,0.05,0.006,3.91E-06,0.034853308,,,
SGD,0.05,0.007,5.88E-06,0.030016313,,,
SGD,0.05,0.008,1.17E-05,0.033560982,,,
SGD,0.05,0.009,1.85E-05,0.034276486,,,
SGD,0.05,0.01,2.67E-05,0.035009455,,,
SGD,0.06,0.0001,4.89E-15,0.063369235,,,
SGD,0.06,0.0002,8.42E-15,0.057816441,,,
SGD,0.06,0.0003,2.11E-14,0.054935708,,,
SGD,0.06,0.0004,5.66E-14,0.052071043,,,
SGD,0.06,0.0005,1.40E-13,0.060494895,,,
SGD,0.06,0.0006,5.32E-13,0.065728438,,,
SGD,0.06,0.0007,5.72E-13,0.054789399,,,
SGD,0.06,0.0008,1.17E-12,0.054753165,,,
SGD,0.06,0.0009,4.05E-12,0.065598794,,,
SGD,0.06,0.001,1.05E-11,0.067965945,,,
SGD,0.06,0.002,5.45E-10,0.054350246,,,
SGD,0.06,0.003,1.19E-08,0.06487987,,,
